ID,Mandarin Character,Pinyin Romanization,English Translation,Resemblance Description,Example Sentence (Pinyin),Example Sentence (English),Memory Helper
80,八十,bā shí,eighty,The character for eight followed by the character for ten.,这是八十个学生。 (Zhè shì bā shí gè xuéshēng.),These are eighty students.,"Imagine the character for eight followed by the character for ten, representing ""eighty."" (pronounced ""bah sh"")"
90,九十,jiǔ shí,ninety,The character for nine followed by the character for ten.,他九十岁了。 (Tā jiǔ shí suì le.),He is ninety years old.,"Imagine the character for nine followed by the character for ten, representing ""ninety."" (pronounced ""jyoh sh"")"
100,一百,yī bǎi,one hundred,The character for one followed by the character for hundred.,这是一百本杂志。 (Zhè shì yī bǎi běn zázhì.),These are one hundred magazines.,"Imagine the character for one followed by the character for hundred, representing ""one hundred."" (pronounced ""ee by"")"
200,二百,èr bǎi,two hundred,The character for two followed by the character for hundred.,这是二百本书。 (Zhè shì èr bǎi běn shū.),These are two hundred books.,"Imagine the character for two followed by the character for hundred, representing ""two hundred."" (pronounced ""are by"")"
300,三百,sān bǎi,three hundred,The character for three followed by the character for hundred.,这是三百个苹果。 (Zhè shì sān bǎi gè píngguǒ.),These are three hundred apples.,"Imagine the character for three followed by the character for hundred, representing ""three hundred."" (pronounced ""san by"")"
400,四百,sì bǎi,four hundred,The character for four followed by the character for hundred.,这是四百个学生。 (Zhè shì sì bǎi gè xuéshēng.),These are four hundred students.,"Imagine the character for four followed by the character for hundred, representing ""four hundred."" (pronounced ""suh by"")"
500,五百,wǔ bǎi,five hundred,The character for five followed by the character for hundred.,这是五百个苹果。 (Zhè shì wǔ bǎi gè píngguǒ.),These are five hundred apples.,"Imagine the character for five followed by the character for hundred, representing ""five hundred."" (pronounced ""woo by"")"
600,六百,liù bǎi,six hundred,The character for six followed by the character for hundred.,他六百岁了。 (Tā liù bǎi suì le.),He is six hundred years old.,"Imagine the character for six followed by the character for hundred, representing ""six hundred."" (pronounced ""lee-oh by"")"
700,七百,qī bǎi,seven hundred,The character for seven followed by the character for hundred.,我有七百本小说。 (Wǒ yǒu qī bǎi běn xiǎoshuō.),I have seven hundred novels.,"Imagine the character for seven followed by the character for hundred, representing ""seven hundred."" (pronounced ""chee by"")"
800,八百,bā bǎi,eight hundred,The character for eight followed by the character for hundred.,这是八百个学生。 (Zhè shì bā bǎi gè xuéshēng.),These are eight hundred students.,"Imagine the character for eight followed by the character for hundred, representing ""eight hundred."" (pronounced ""bah by"")"
900,九百,jiǔ bǎi,nine hundred,The character for nine followed by the character for hundred.,他九百岁了。 (Tā jiǔ bǎi suì le.),He is nine hundred years old.,"Imagine the character for nine followed by the character for hundred, representing ""nine hundred."" (pronounced ""jyoh by"")"
1000,一千,yī qiān,one thousand,The character for one followed by the character for thousand.,这是一千本杂志。 (Zhè shì yī qiān běn zázhì.),These are one thousand magazines.,"Imagine the character for one followed by the character for thousand, representing ""one thousand."" (pronounced ""ee chyen"")"
